%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%
%% Encoding check:
%%   ä  ö  ü  Ä  Ö  Ü  ß  á  é  í  ó  ú  à  è  ì  ò  ù  â  ê  î  ô  û
%%
%%   If the above contains rubbish, please re-open this file using
%%   the CORRECT encoding.  By default this is UTF-8.
%%   DO NOT save the file in this case!
%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

% %%%	%%%	%%%
% key	eng	ger
% %%%	%%%	%%%
%
%
% %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% NOTE: Please include the key-eng-ger tripplet at the right place.
%       meaning: putting it under 'Adresses', 'Organisations',
%       'Universites, Schools', 'Departments, Institutes, Groups',
%       'Types of TechReports', or 'misc' AND set the line
%       in lexicographical order.
% %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% NOTE: Avoid empty lines! Always put a % in front of empty lines
%       or comments.
% %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%
%
% %%%%%
% Month
% %%%%%
jan	January	Januar
org-cdt	California Department of Transportation	California Department of Transportation
org-ceer	Center for European Economic Research	Zentrum fuer Europaeische Wirtschaftsforschung
org-chsra	California High Speed Rail Authority	California High Speed Rail Authority
org-cts	Centre for Transport Studies, Sweden	Centre for Transport Studies, Sweden
org-cfd	Committee for Determination of the State of Practice in Metropolitan Area Travel Forecasting	Committee for Determination of the State of Practice in Metropolitan Area Travel Forecasting
org-cft	Committee for the Study of Long-Term Viability of Fuel Taxes for Transportation Finance		Committee for the Study of Long-Term Viability of Fuel Taxes for Transportation Finance
org-cirrelt	Interuniversity Research Centre on Enterprise Networks, Logistics and Transportation (CIRRELT)	Centre interuniversitaire de recherche sur les résaux d'entreprise, la logistique et le transport (CIRRELT)
org-cota	Chinese Overseas Transportation Association (COTA)	Chinese Overseas Transportation Association (COTA)
org-cs	IEEE Computer Society	IEEE Computer Society
org-csi	{Cambridge Systematics Inc.}	{Cambridge Systematics Inc.}
org-cure	Center for Usability Research and Engineering	Center for Usability Research and Engineering
org-datapuls	Datapuls AG	Datapuls AG
org-detr	Department for Environment, Transport and the Regions	Department for Environment, Transport and the Regions
org-dfg	Deutsche Forschungsgemeinschaft	Deutsche Forschungsgemeinschaft
org-dft	Department for Transport	Department for Transport
org-divu	Dresdner Instituts für Verkehr und Umwelt e.V (DIVU)	Dresdner Instituts für Verkehr und Umwelt e.V (DIVU)
org-dtu	DTU Transport, Denmark	DTU Transport, Denmark
org-dlr	German Aerospace Center (DLR)	Deutsches Zentrum fuer Luft- und Raumfahrt (DLR)
org-dmg	Data Management Group	Data Management Group
org-doe	U.S. Department of Energy	U.S. Department of Energy
org-dot	U.S. Department of Transportation	U.S. Department of Transportation
org-dvwg	Deutsche Verkehrswissenschaftliche Gesellschaft (DVWG)	Deutsche Verkehrswissenschaftliche Gesellschaft (DVWG)
org-eatcs	European Association for Theoretical Computer Science (EATCS)	European Association for Theoretical Computer Science (EATCS)
org-ebp	Ernst Basler + Partner AG	Ernst Basler + Partner AG
org-ec	European Commission	Europäische Kommission
org-ecoplan	Ecoplan	Ecoplan
org-edmz	Eidgenössische Drucksachen- und Materialzentrale	Eidgenössische Drucksachen- und Materialzentrale
org-ee-21c	Earthquake Engineering in the 21st Century (EE-21C)		Earthquake Engineering in the 21st Century (EE-21C)
org-eea	European Environment Agency	Europäische Umweltagentur
org-eia	Energy Information Administration (EIA)	Energy Information Administration (EIA)
org-embe	Emch und Berger	Emch und Berger 
org-endoxon	Endoxon AG	Endoxon AG
org-ensi	Swiss Federal Nuclear Safety Inspectorate ENSI	Eidgenössisches Nuklearinspektorat ENSI
org-epa	Environmental Protection Agency	Environmental Protection Agency
org-esri	Environmental Systems Research Institute (ESRI) Inc.	Environmental Systems Research Institute (ESRI) Inc.
org-estv	Federal Tax Administration	Eidgenössische Steuerverwaltung
org-etcons	Ecolane Transport Consultancy	Ecolane Transport Consultancy
org-eu	European Union	Europäische Union
org-eufp6	Sixth Framework Programme	Sixth Framework Programme
org-euc	European Commission	Europäische Kommission
org-eurostat	Eurostat	Eurostat
org-ewz	Elektrizitätswerk der Stadt Zürich (EWZ)	Elektrizitätswerk der Stadt Zürich (EWZ)
org-fcc	Federal Communications Commission	Federal Communications Commission
org-fdot	Florida Department of Transportation	Florida Department of Transportation
org-fgsv	Forschungsgesellschaft für Straßen- und Verkehrswesen	Forschungsgesellschaft für Straßen- und Verkehrswesen
org-fhwa	Federal Highway Administration	Federal Highway Administration
org-flu	Fluidtime Data Services GmbH	Fluidtime Data Services GmbH
org-fta	Federal Transit Administration	Federal Transit Administration
org-geostat	GEOSTAT	GEOSTAT
org-gseved	Dienst für Gesamtverkehrsfragen (GS EVED)	Dienst für Gesamtverkehrsfragen (GS EVED)
org-hague	Hague Consulting Group	Hague Consulting Group
org-hca	Homes and Communities Agency	Homes and Communities Agency
org-hev	Swiss Homeowners Assocation 	Schweizer Hauseingetümer Verein
org-hksts	Hong Kong Society for Transportation Studies 	Hong Kong Society for Transportation Studies
org-hrb	Highway Research Board	Highway Research Board
org-idrim	International Society of Integrated Disaster Risk Management (IDRim)	International Society of Integrated Disaster Risk Management (IDRim)
org-ifac	International Federation of Automatic Control	International Federation of Automatic Control
org-ifsttar	IFSTTAR	IFSTTAR
org-iht	Institution of Highways and Transportation	Institution of Highways and Transportation
org-infras	INFRAS	INFRAS
org-inrets	Institut National de Recherche sur les Transports et leur Sécurité (INRETS)	Institut National de Recherche sur les Transports et leur Sécurité (INRETS)
org-inro	INRO	INRO
org-ivtev	Institut für angewandte Verkehrs- und Tourismusforschung e.V.	Institut für angewandte Verkehrs- und Tourismusforschung e.V.
org-ivv	Ingenieurgruppe IVV	Ingenieurgruppe IVV
org-ieee	Intelligent Transportation Systems Society	Intelligent Transportation Systems Society
org-iabse	International Association for Bridge and Structural Engenieering	International Association for Bridge and Structural Engenieering
org-iab	Institut für Arbeitsmarkt- und Berufsforschung	Institut für Arbeitsmarkt- und Berufsforschung
org-imc	Infrastucture Managment Consultants	Infrastucture Managment Consultants
org-interface	Interface Politikstudien	Interface Politikstudien
org-ite	Institute of Transportation Engineers	Institute of Transportation Engineers
org-itsmy	Intelligent Transportation Systems Malaysia	Intelligent Transportation Systems Malaysia
org-kba	Kraftfahrt Bundesamt	Kraftfahrt Bundesamt
org-jbs	John Bates Services	John Bates Services
org-lta	Land Transport Authority
org-mappuls	Mappuls AG	Mappuls AG
org-metron	Metron	Metron
org-mie	Dutch Ministry of Infrastructure and the Environment	Dutch Ministry of Infrastructure and the Environment
org-muheimpartner	Peter Muheime \& Partner		Peter Muheime \& Partner
org-mva	MVA Consultancy	MVA Consultancy		
org-mwcg	Metropolitan Washington Council of Governments	Metropolitan Washington Council of Governments
org-nasa	National Aeronautics and Space Administration	National Aeronautics and Space Administration
org-nber	National Bureau of Economic Research	National Bureau of Economic Research
org-natcen	NatCen	NatCen
org-nchrp	National Cooperative Highway Research Program	National Cooperative Highway Research Program
org-nctr	Norwegian Centre for Transport Research	Norwegian Centre for Transport Research
org-toi	Institute for Transport Economics	Institute for Transport Economics
org-nerc	National Environmental Research Center	National Environmental Research Center
org-nooep	New Orleans Office of Emergency Preparedness	New Orleans Office of Emergency Preparedness
org-oeaw	Austrian Academy of Sciences	Österreichische Akademie der Wissenschaften
org-oecd	OECD	OECD
org-oecditf	OECD/ITF Joint Transport Research Centre	OECD/ITF Joint Transport Research Centre
org-omnint	Omnitrans International	Omnitrans International
org-orange	Orange Labs	Orange Labs
org-path	California Partners for Advanced Transit and Highways (PATH)	California Partners for Advanced Transit and Highways (PATH)
org-psi	Paul Scherrer Institute	Paul Scherrer Institut
org-ptv	PTV	Planung Transport Verkehr AG (PTV)
org-ptvc	PTV Consult	 PTV Transport Consult GmbH 
org-putv	Projektforschung Unternehmensberatung Transport und Verkehr	Projektforschung Unternehmensberatung Transport und Verkehr
org-rac	RAC Foundation	RAC Foundation
org-rand	RAND Europe	RAND Europe
org-rdc	RDC Inc.	RDC Inc.
org-regioconcept	regioConcept	regioConcept
org-rfsc	R Foundation for Statistical Computing	R Foundation for Statistical Computing
org-sazh	Statistical Office of the Canton Zurich	Statistisches Amt des Kantons Zürich
org-sba	Swiss Federal Archives	Schweizerisches Bundesarchiv
org-sbb	Swiss Railways	Schweizerische Bundesbahnen
org-scpr	Social \& Community Planning Research	Social \& Community Planning Research
org-sdewes	International Centre for Sustainable Development of Energy, Water and Environment Systems	Internationales Zentrum für nachhaltige Entwicklung von Energie, Wasser und Umwelt-Systemen
