% !TEX encoding = utf8
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%
%% Encoding check:
%%   ä  ö  ü  Ä  Ö  Ü  ß  á  é  í  ó  ú  à  è  ì  ò  ù  â  ê  î  ô  û
%%
%%   If the above contains rubbish, please re-open this file using
%%   the CORRECT encoding.  By default this is UTF-8.
%%   DO NOT save the file in this case!
%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%
% author.txt:
%   Defines shortcuts for authors.
%   NOTE: NEVER use names for authors
%         in your BibTeX item! Always use the ones in here, or
%         add it if necessary.
%   NOTE: If you add a new shortcut, add it at the right place meaning
%         sorted lexicographially!
%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% author names
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

% A %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

Aasa	Aasa, Anto
ChenMC	Chen, Ming-Chi
ChenQ	Chen, Qian
ChenQC	Chen, Qiuzi Cynthia
ChenW	Chen, Wendy Y.
ChenWe	Chen, Weiya
ChenX	Chen, Xuewu
ChenXQ	Chen, Xiang
ChenXU	Chen, Xuewi
ChenY	Chen, Yangchi
ChenYQ	Chen, Yali
ChenYu	Chen, Yu
ChenZ	Chen, Zhiya
Cheney	Cheney, Ward
Cheng	Cheng, Guangxiang
ChengC	Cheng, Chuntian
ChengT	Cheng, Tao
ChengYC	Cheng, Yu-Chung
Cherchi	Cherchi, Elisabetta
Chesher	Chesher, Andrew
Cheu	Cheu, Ruey Long
Cheung	Cheung, A. K. C.
Chiabai	Chiabai, Aline
Chiabaut	Chiabaut, Nicolas
Chiappori	Chiappori, P. A.
Chikaraishi	Chikaraishi, Makoto
Childress	Childress, Suzanne
Chin	Chin, Shih-Miao
ChinTL	Chin, Tung-Leong
Chintakayala	Chintakayala, V. Phani K.
Chiu	Chiu, Yi-Chang
Chlond	Chlond, Bastian
Cho	Cho, Gi-Hyoug
ChoHJ	Cho, Hsun-Jung
ChoS	Cho, Sungbin
Choi	Choi, Chik Cheong
ChoiMH	Choi, Myoung Hun
Chomsky	Chomsky, Noam
Chon	Chon, Kyung S.
Choo	Choo, Sangho
Chor	Chor, Miaw Ling
Chorley	Chorley, J. C.
Chorus	Chorus, Caspar G.
Chou	Chou, Yu-Li
Choudhury	Choudhury, Charisma F.
Chow	Chow, Joseph Y.J.
Chowdhury	Chowdhury, D.
Christakis	Christakis, Nicholas A.
Christaller	Christaller, T.
ChristallerW	Christaller, Walter
Christian	Christian, K. P.
Christmann	Christmann, Gabriela B.
Chromy	Chromy, J. R.
Chu	Chu, Chaushie
ChuKKA	Chu, Ka Kee Alfred
ChuR	Chu, Raymond
ChuX	Chu, X.
ChuY	Chu, You-Lian
ChuYL	Chu, Y. L.
Chua	Chua, Victor
Chung	Chung, Eui-Hwan
ChungM	Chung, Moo K.
ChungYY	Chung, Yim Yiu
Church	Church, Richard L.
Ciari	Ciari, Francesco
Cici	Cici, Blerim
Cik	Cik, Michael
Cirillo	Cirillo, Cinzia
Ciuffo	Ciuffo, Biagio
Claramunt	Claramunt, C.
Clark	Clark, Andrew. F.
ClarkJ	Clark, John
ClarkS	Clark, S. D.
